month,attempt,shipped,stage,process,role,cli,model,batch,n_papers,words_out,tokens_in,tokens_out,cache_read,est_tokens_out,token_source,at
2026-07,1,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,0,12,,6,8210,7627,,reported,14:16:49
2026-07,2,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,1,12,,6,13183,7627,,reported,14:18:48
2026-07,3,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,2,12,,6,9357,7627,,reported,14:20:23
2026-07,4,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,3,12,,6,14135,7627,,reported,14:22:35
2026-07,5,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,4,12,,6,10558,7627,,reported,14:24:14
2026-07,6,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,5,12,,6,17218,7627,,reported,14:26:50
2026-07,7,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,6,12,,6,8908,7627,,reported,14:28:15
2026-07,8,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,7,12,,6,11425,7627,,reported,14:30:05
2026-07,9,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,8,12,,6,13144,7627,,reported,14:32:49
2026-07,10,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,9,12,,6,10636,7627,,reported,14:34:26
2026-07,11,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,10,12,,6,12018,7627,,reported,14:36:30
2026-07,12,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,11,12,,6,11284,7627,,reported,14:38:26
2026-07,13,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,12,12,,6,10057,7627,,reported,14:40:08
2026-07,14,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,13,12,,6,8062,7627,,reported,14:41:35
2026-07,15,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,14,12,,6,7806,7627,,reported,14:43:00
2026-07,16,yes,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,15,1,,6,732,7627,,reported,14:43:15
2026-07,1,yes,13_draft_s1,13_draft_s1,llm,,qwen3.8-flash,,,,6,376,,,reported,
2026-07,1,yes,13_draft_s2,13_draft_s2,llm,,qwen3.8-flash,,,,6,2085,,,reported,
2026-07,1,yes,13_draft_s3,13_draft_s3,llm,,qwen3.8-flash,,,,6,2529,,,reported,
2026-07,1,yes,13_draft_s4,13_draft_s4,llm,,qwen3.8-flash,,,,6,3184,,,reported,
2026-07,1,yes,13_draft_s5,13_draft_s5,llm,,qwen3.8-flash,,,,6,2335,,,reported,
2026-07,1,yes,13_draft_s6,13_draft_s6,llm,,qwen3.8-flash,,,,6,4071,,,reported,
2026-07,1,yes,13_draft_s7,13_draft_s7,llm,,qwen3.8-flash,,,,6,190,,,reported,
2026-07,1,yes,13_draft_s8,13_draft_s8,llm,,qwen3.8-flash,,,,6,487,,,reported,
2026-07,1,yes,13b_s1,13b_s1,llm,agy,gemini-3.8-flash-high,,,594,,,,790,estimated,
2026-07,1,yes,13b_s2,13b_s2,llm,agy,gemini-3.8-flash-high,,,558,,,,742,estimated,
