id,desc,oracle,expect,runner,injection_landed,rc,sec,caught,gates_fired,verdict
NC-00,"negative control, nothing injected",(none),pass,build,True,0,9.6,False,,control_ok
NC-01,"negative control, anchors untouched",(none),pass,verify_anchors,True,0,0.3,False,,control_ok
FI-01,anchor no longer verbatim in source abstract,verify_anchors,catch,verify_anchors,True,1,0.2,True,verify_anchors,caught_by_oracle
FI-02,anchor verbatim but 30 words (over the 25-word cap),verify_anchors,catch,verify_anchors,True,1,0.2,True,verify_anchors,caught_by_oracle
FI-03,numeric value absent from its own anchor,verify_anchors,catch,verify_anchors,True,1,0.2,True,verify_anchors,caught_by_oracle
FI-04,certified single junction above the SQ limit (34.8%),G3c-abstract-physics,catch,build,True,0,6.8,True,G3c-abstract-physics,caught_by_oracle
FI-05,fabricated digit inserted into the abstract,G3-abstract,catch,build,True,0,6.7,True,G3-abstract,caught_by_oracle
FI-06,unresolvable placeholder token in the abstract,build-fail-closed,catch,build,True,1,1.3,True,build-fail-closed,caught_by_oracle
FI-07,verbatim shipped narration sentence,G4,catch,build,True,0,6.6,True,G4,caught_by_oracle
FI-08,NOVEL narration paraphrase absent from KNOWN_LEAKS,G4,unknown,build,True,0,7.9,True,G4,caught_by_oracle
FI-09,em-dash injected into body prose,G4,catch,build,True,0,7.6,True,G4,caught_by_oracle
FI-10,citation key resolving to no card,G1,catch,build,True,0,7.3,True,G1,caught_by_oracle
FI-11,"45 citations stripped, pushing below the G2c band",G2c-cite-count,catch,build,True,0,7.5,True,G2c-cite-count,caught_by_oracle
FI-12,"section tripled in length, over its ceiling",G2,catch,build,True,0,7.4,True,"G2,G5",caught_by_oracle
FI-13,two sections of the SAME issue carrying identical prose,"intra-issue novelty (defined, NOT enforced)",known_blind,build,True,0,6.5,False,,known_blind_confirmed
FI-14,every figure deleted before the build,"G9c (counts duplicates, cannot see absence)",known_blind,build,True,0,6.6,False,,known_blind_confirmed
FI-15,notation converter neutered (units ship flat),G9a-notation,catch,build,True,0,5.8,True,G9a-notation,caught_by_oracle
FI-16,bare abbreviation used before its expansion,G7-abbrev,catch,build,True,0,6.7,True,G7-abbrev,caught_by_oracle
FI-17,"AI declaration names a CLI slug, not a product",G9d-model-names,catch,build,True,0,7.6,True,G9d-model-names,caught_by_oracle
